k,psiUnw,sUsed,v_cmd
329,5.06802322654657,0.999999999999091,3.30274472259049
330,5.06802322654657,0.999999999999091,3.30274472259049
331,5.06802322654657,0.999999999999091,3.30274472259049
332,5.06802322654657,0.999999999999091,3.30274472259049
333,5.06802322654657,0.999999999999091,3.30274472259049
334,5.06802322654657,0.999999999999091,3.30274472259049
335,5.06802322654657,0.999999999999091,3.30274472259049
336,5.06802322654657,0.999999999999091,3.30274472259049
337,5.06802322654657,0.999999999999091,3.30274472259049
338,5.06802322654657,0.999999999999091,3.30274472259049
339,5.06802322654657,0.999999999999091,3.30274472259049
340,5.06802322654657,0.999999999999091,3.30274472259049
341,5.06802322654657,0.999999999999091,3.30274472259049
342,5.06802322654657,0.999999999999091,3.30274472259049
343,5.06802322654657,0.999999999999091,3.30274472259049
344,5.06802322654657,0.999999999999091,3.30274472259049
345,5.06802322654657,0.999999999999091,3.30274472259049
346,5.06802322654657,0.999999999999091,3.30274472259049
347,5.06802322654657,0.999999999999091,3.30274472259049
348,5.06802322654657,0.999999999999091,3.30274472259049
349,5.06802322654657,0.999999999999091,3.30274472259049
350,5.06802322654657,0.999999999999091,3.30274472259049
351,5.06802322654657,0.999999999999091,3.30274472259049
352,5.06802322654657,0.999999999999091,3.30274472259049
353,5.06802322654657,0.999999999999091,3.30274472259049
354,5.06802322654657,0.999999999999091,3.30274472259049
355,5.06802322654657,0.999999999999091,3.30274472259049
356,5.06802322654657,0.999999999999091,3.30274472259049
357,5.06802322654657,0.999999999999091,3.30274472259049
358,5.06802322654657,0.999999999999091,3.30274472259049
359,5.06802322654657,0.999999999999091,3.30274472259049
360,5.06802322654657,0.999999999999091,3.30274472259049
361,5.06802322654657,0.999999999999091,3.30274472259049
362,5.06802322654657,0.999999999999091,3.30274472259049
363,5.06802322654657,0.999999999999091,3.30274472259049
364,5.06802322654657,0.999999999999091,3.30274472259049
365,5.06802322654657,0.999999999999091,3.30274472259049
366,5.06802322654657,0.999999999999091,3.30274472259049
367,5.06802322654657,0.999999999999091,3.30274472259049
368,5.06802322654657,0.999999999999091,3.30274472259049
369,5.06802322654657,0.999999999999091,3.30274472259049
370,5.06802322654657,0.999999999999091,3.30274472259049
371,5.06802322654657,0.999999999999091,3.30274472259049
372,5.06802322654657,0.999999999999091,3.30274472259049
373,5.06802322654657,0.999999999999091,3.30274472259049
374,5.06802322654657,0.999999999999091,3.30274472259049
